iter	Passed	Remaining
680	11817	5535
681	11832	5517
682	11850	5500
683	11874	5485
684	11899	5471
685	11920	5456
686	11952	5445
687	11972	5429
688	11993	5413
689	12015	5398
690	12031	5380
691	12051	5364
692	12068	5346
693	12085	5328
694	12100	5310
695	12147	5305
696	12165	5288
697	12181	5270
698	12200	5253
699	12213	5234
700	12229	5216
701	12249	5199
702	12262	5180
703	12277	5162
704	12292	5143
705	12311	5127
706	12327	5108
707	12343	5090
708	12361	5073
709	12378	5055
710	12395	5038
711	12415	5021
712	12430	5003
713	12446	4985
714	12459	4966
715	12476	4948
716	12494	4931
717	12508	4912
718	12523	4894
719	12539	4876
720	12556	4859
721	12573	4841
722	12590	4823
723	12605	4805
724	12628	4790
725	12659	4777
726	12696	4767
727	12736	4758
728	12772	4748
729	12809	4737
730	12844	4726
731	12877	4714
732	12906	4701
733	12940	4689
734	12976	4678
735	13009	4666
736	13042	4654
737	13078	4642
738	13117	4632
739	13180	4631
740	13214	4618
741	13233	4601
742	13252	4583
743	13266	4564
744	13285	4547
745	13303	4529
746	13317	4510
747	13335	4492
748	13351	4474
749	13366	4455
750	13383	4437
751	13397	4418
752	13415	4400
753	13429	4381
754	13447	4363
755	13462	4345
756	13480	4327
757	13498	4309
758	13514	4291
759	13531	4273
760	13548	4254
761	13563	4236
762	13578	4217
763	13596	4200
764	13611	4181
765	13628	4163
766	13648	4146
767	13661	4126
768	13675	4107
769	13693	4090
770	13708	4071
771	13726	4053
772	13744	4036
773	13758	4017
774	13774	3999
775	13789	3980
776	13808	3963
777	13824	3944
778	13842	3926
779	13856	3908
780	13874	3890
781	13890	3872
782	13905	3853
783	13924	3836
784	13942	3818
785	13961	3801
786	13977	3783
787	13994	3764
788	14015	3748
789	14037	3731
790	14054	3713
791	14073	3696
792	14089	3677
793	14109	3660
794	14124	3642
795	14138	3623
796	14156	3605
797	14173	3587
798	14224	3578
799	14239	3559
800	14255	3541
801	14270	3523
802	14285	3504
803	14304	3487
804	14321	3469
805	14338	3451
806	14353	3432
807	14368	3414
808	14385	3396
809	14400	3377
810	14419	3360
811	14436	3342
812	14454	3324
813	14469	3306
814	14484	3287
815	14498	3269
816	14509	3250
817	14523	3231
818	14538	3213
819	14553	3194
820	14570	3176
821	14590	3159
822	14605	3141
823	14624	3123
824	14641	3105
825	14659	3088
826	14675	3069
827	14694	3052
828	14710	3034
829	14726	3016
830	14742	2998
831	14760	2980
832	14775	2962
833	14789	2943
834	14806	2925
835	14822	2907
836	14839	2889
837	14857	2872
838	14873	2854
839	14890	2836
840	14906	2818
841	14923	2800
842	14937	2782
843	14957	2764
844	14972	2746
845	14990	2728
846	15004	2710
847	15020	2692
848	15039	2674
849	15054	2656
850	15072	2638
851	15086	2620
852	15102	2602
853	15116	2584
854	15133	2566
855	15148	2548
856	15165	2530
857	15181	2512
858	15199	2494
859	15252	2482
860	15268	2465
861	15284	2446
862	15301	2429
863	15316	2410
864	15330	2392
865	15347	2374
866	15364	2356
867	15382	2339
868	15398	2321
869	15417	2303
870	15431	2285
871	15447	2267
872	15465	2249
873	15480	2231
874	15496	2213
875	15514	2196
876	15530	2178
877	15549	2160
878	15564	2142
879	15580	2124
880	15599	2107
881	15616	2089
882	15634	2071
883	15653	2054
884	15670	2036
885	15688	2018
886	15705	2000
887	15721	1982
888	15741	1965
889	15756	1947
890	15773	1929
891	15786	1911
892	15802	1893
893	15818	1875
894	15835	1857
895	15858	1840
896	15877	1823
897	15895	1805
898	15911	1787
899	15929	1769
900	15951	1752
901	15966	1734
902	15982	1716
903	15996	1698
904	16013	1680
905	16028	1662
906	16044	1645
907	16054	1626
908	16073	1609
909	16091	1591
910	16109	1573
911	16125	1555
912	16143	1538
913	16160	1520
914	16176	1502
915	16194	1485
916	16209	1467
917	16224	1449
918	16266	1433
919	16296	1417
920	16309	1398
921	16328	1381
922	16342	1363
923	16360	1345
924	16376	1327
925	16396	1310
926	16412	1292
927	16427	1274
928	16444	1256
929	16462	1239
930	16477	1221
931	16492	1203
932	16510	1185
933	16525	1167
934	16543	1150
935	16558	1132
936	16573	1114
937	16591	1096
938	16607	1078
939	16624	1061
940	16638	1043
941	16653	1025
942	16672	1007
943	16686	989
944	16705	972
945	16723	954
946	16738	936
947	16752	918
948	16771	901
949	16785	883
950	16795	865
951	16808	847
952	16819	829
953	16831	811
954	16848	793
955	16863	776
956	16881	758
957	16899	740
958	16915	723
959	16935	705
960	16950	687
961	16967	670
962	16985	652
963	16998	634
964	17016	617
965	17030	599
966	17045	581
967	17059	563
968	17076	546
969	17092	528
970	17110	511
971	17124	493
972	17142	475
973	17156	457
974	17174	440
975	17190	422
976	17204	405
977	17220	387
978	17234	369
979	17246	351
980	17264	334
981	17322	317
982	17339	299
983	17357	282
984	17375	264
985	17389	246
986	17405	229
987	17419	211
988	17432	193
989	17450	176
990	17465	158
991	17481	140
992	17496	123
993	17513	105
994	17530	88
995	17546	70
996	17564	52
997	17579	35
998	17593	17
999	17612	0
