iter	Passed	Remaining
869	49601	7411
870	49655	7354
871	49707	7296
872	49757	7238
873	49811	7181
874	49871	7124
875	49928	7067
876	49983	7010
877	50040	6953
878	50091	6895
879	50148	6838
880	50203	6781
881	50257	6723
882	50311	6666
883	50364	6608
884	50507	6563
885	50561	6505
886	50613	6447
887	50670	6390
888	50724	6333
889	50778	6276
890	50832	6218
891	50890	6161
892	50950	6104
893	51004	6047
894	51055	5989
895	51112	5932
896	51168	5875
897	51220	5817
898	51281	5761
899	51345	5705
900	51401	5647
901	51462	5591
902	51609	5543
903	51666	5486
904	51718	5428
905	51774	5371
906	51830	5314
907	51886	5257
908	51941	5199
909	51999	5142
910	52050	5085
911	52106	5027
912	52165	4970
913	52222	4913
914	52281	4856
915	52339	4799
916	52398	4742
917	52451	4685
918	52511	4628
919	52647	4578
920	52763	4525
921	52818	4468
922	52874	4411
923	52933	4353
924	52988	4296
925	53047	4239
926	53104	4181
927	53159	4124
928	53214	4066
929	53269	4009
930	53327	3952
931	53379	3894
932	53439	3837
933	53496	3780
934	53554	3723
935	53609	3665
936	53671	3608
937	53820	3557
938	53882	3500
939	53937	3442
940	53993	3385
941	54048	3327
942	54107	3270
943	54165	3213
944	54222	3155
945	54278	3098
946	54339	3041
947	54396	2983
948	54452	2926
949	54508	2868
950	54561	2811
951	54617	2753
952	54675	2696
953	54730	2638
954	54785	2581
955	54933	2528
956	54985	2470
957	55043	2413
958	55095	2355
959	55156	2298
960	55211	2240
961	55268	2183
962	55337	2126
963	55404	2069
964	55459	2011
965	55517	1954
966	55572	1896
967	55632	1839
968	55695	1781
969	55751	1724
970	55809	1666
971	55864	1609
972	56009	1554
973	56079	1496
974	56133	1439
975	56195	1381
976	56250	1324
977	56309	1266
978	56365	1209
979	56420	1151
980	56475	1093
981	56528	1036
982	56584	978
983	56642	921
984	56703	863
985	56783	806
986	56843	748
987	56902	691
988	56959	633
989	57155	577
990	57214	519
991	57267	461
992	57323	404
993	57378	346
994	57432	288
995	57516	230
996	57579	173
997	57635	115
998	57688	57
999	57744	0
